pca_id,pca_name,date_of_birth
PCA005,PCA C,4/25/07
PCA011,PCA BY,4/5/11
PCA024,PCA BA,5/20/16
PCA044,PCA CZ,8/31/01
PCA047,PCA Q,9/12/99
PCA050,PCA A,2/5/96
PCA053,PCA BV,8/26/19
PCA059,PCA AW,4/11/83
PCA060,PCA DD,8/11/91
PCA071,PCA DP,1/7/82
PCA078,PCA BG,2/10/80
PCA103,PCA BW,3/4/84
PCA108,PCA D,3/27/83
PCA115,PCA DC,4/29/02
PCA122,PCA CL,7/31/80
PCA125,PCA CP,7/21/87
PCA130,PCA CA,12/28/04
PCA146,PCA AH,12/18/95
PCA149,PCA Z,8/14/09
PCA154,PCA CR,1/20/83
PCA171,PCA AQ,8/15/86
PCA175,PCA Y,7/2/89
PCA185,PCA AP,5/5/95
PCA188,PCA BK,1/19/88
PCA189,PCA DI,5/28/92
PCA243,PCA CY,9/18/92
PCA249,PCA BO,5/9/06
PCA252,PCA CX,8/5/92
PCA262,PCA CV,11/13/01
PCA267,PCA DK,4/11/94
PCA272,PCA BR,9/15/16
PCA275,PCA CS,6/27/96
PCA285,PCA P,10/20/12
PCA290,PCA K,4/27/14
PCA297,PCA BQ,8/16/95
PCA298,PCA AD,7/24/82
PCA303,PCA AK,8/10/82
PCA305,PCA O,12/18/07
PCA306,PCA AX,8/25/12
PCA309,PCA AZ,6/26/14
PCA313,PCA T,3/19/82
PCA326,PCA CE,4/21/18
PCA328,PCA BZ,12/4/83
PCA333,PCA BJ,4/10/80
PCA337,PCA CM,11/22/98
PCA345,PCA AF,11/10/83
PCA355,PCA BT,11/28/14
PCA363,PCA CC,11/13/99
PCA377,PCA DL,7/2/88
PCA380,PCA BL,4/10/05
PCA394,PCA BS,5/31/92
PCA397,PCA S,12/13/10
PCA419,PCA AO,2/5/14
PCA431,PCA F,2/23/03
PCA435,PCA AG,8/25/18
PCA442,PCA CU,1/16/08
PCA443,PCA L,2/27/91
PCA465,PCA BN,10/3/07
PCA474,PCA CK,11/29/83
PCA487,PCA BU,12/31/12
PCA490,PCA CJ,4/5/85
PCA520,PCA H,8/28/88
PCA521,PCA V,1/29/12
PCA532,PCA CN,9/23/04
PCA534,PCA DN,4/28/87
PCA539,PCA CF,2/15/87
PCA545,PCA W,11/6/04
PCA550,PCA BE,1/4/89
PCA552,PCA DB,11/7/17
PCA561,PCA BH,11/12/08
PCA567,PCA I,2/23/82
PCA568,PCA AV,3/6/16
PCA584,PCA CQ,4/4/86
PCA593,PCA CG,6/8/89
PCA600,PCA AM,12/29/89
PCA604,PCA M,12/3/01
PCA605,PCA CH,8/11/89
PCA607,PCA BB,7/22/00
PCA622,PCA CT,3/12/01
PCA635,PCA DG,2/27/84
PCA642,PCA U,7/9/95
PCA644,PCA BC,1/19/82
PCA654,PCA BX,12/9/84
PCA656,PCA AL,7/13/14
PCA676,PCA AS,1/4/15
PCA684,PCA AY,10/1/94
PCA687,PCA CD,12/29/84
PCA716,PCA CO,11/4/01
PCA719,PCA DJ,1/24/17
PCA720,PCA AN,1/18/91
PCA731,PCA AJ,10/7/95
PCA736,PCA DM,8/3/02
PCA737,PCA BD,4/27/16
PCA738,PCA AR,10/5/13
PCA739,PCA BM,8/7/84
PCA746,PCA AB,8/29/80
PCA748,PCA AC,8/3/14
PCA756,PCA AT,5/23/88
PCA758,PCA CB,9/4/80
PCA765,PCA BP,6/29/08
PCA782,PCA DF,2/25/90
PCA797,PCA J,8/3/01
PCA799,PCA G,4/19/98
PCA808,PCA AU,11/20/85
PCA813,PCA DO,8/15/04
PCA819,PCA CW,2/15/18
PCA822,PCA DH,2/26/18
PCA838,PCA CI,1/13/18
PCA865,PCA AE,11/13/05
PCA866,PCA N,3/16/03
PCA867,PCA R,11/3/97
PCA871,PCA AI,6/15/92
PCA891,PCA DA,7/14/06
PCA932,PCA X,6/21/08
PCA933,PCA DE,6/21/04
PCA944,PCA E,9/24/84
PCA948,PCA B,9/26/87
PCA952,PCA BI,2/15/85
PCA982,PCA AA,9/6/90
